Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-530.613	-561.4897	30.87668	0.0686778	0.0988378	0.0218736	0.00717938	0.109244	0.000844707	0.106618	0.0522066	0.0649736	0.11549	0.128503	0.24629	0.0956366	0.0702895	0.0357328	0.319281	0.0481072	0.00979469	0.12492	0.00575173	0.0292927	0.0967215	0.12861	0.0636417	0.0225878	0.0509436	0.102158	0.127246	0.0909385	0.141665	0.385539	0.742781	1.34629	2.59377	7.05892	1.413088	0.0281191	0.0404676	0.00895582	0.00293949	0.0447283	0.000345852	0.0436532	0.0213752	0.0266024	0.0472858	0.0526135	0.10084	0.0391569	0.028779	0.0146302	0.130725	0.0196968	0.00401028	0.0511464	0.00235496	0.0119935	0.0396011	0.0526572	0.0260571	0.00924823	0.0208581	0.0418272	0.0520988	0.0372334	2.442391
36	-530.7725	-561.7633	30.99086	0.0217914	0.00663391	0.06057	0.0328113	0.0454491	0.0095494	0.256428	0.0355488	0.00742529	0.159713	0.066386	0.267773	0.0693777	0.19195	0.0111337	0.167555	0.0704427	0.0116748	0.0695775	0.0075462	0.0819061	0.0446856	0.190323	0.0278593	0.0577686	0.0441264	0.0629787	0.0325424	0.0480595	0.0899567	0.308944	0.693189	1.44261	3.23683	11.1165	1.741459	0.0100905	0.00307184	0.028047	0.0151933	0.0210453	0.00442186	0.11874	0.0164609	0.00343829	0.0739554	0.0307401	0.123993	0.0321255	0.0888826	0.00515546	0.0775868	0.0326186	0.00540605	0.032218	0.00349428	0.0379267	0.0206917	0.0881294	0.0129003	0.0267498	0.0204328	0.0291624	0.0150688	0.022254	2.159587
72	-529.6898	-559.0645	29.37469	0.00152932	0.00286077	0.0173497	0.0324866	0.0490125	0.0461248	0.281348	0.0248827	0.00226748	0.116324	0.10953	0.17703	0.170284	0.12626	0.0350837	0.447456	0.195741	0.0848078	0.503043	0.0110189	0.249597	0.0221388	0.201907	0.0398232	0.201917	0.0857486	0.0938837	0.0510025	0.0845037	0.185114	0.439267	0.773638	1.29259	2.27652	5.40206	1.219659	0.000441367	0.000825627	0.00500719	0.00937573	0.0141452	0.0133118	0.0811979	0.00718123	0.000654401	0.0335716	0.0316108	0.0510916	0.0491446	0.0364392	0.0101253	0.129137	0.0564916	0.0244758	0.14518	0.00318009	0.0720345	0.00638932	0.0582712	0.0114931	0.0582738	0.0247473	0.0270952	0.0147195	0.0243881	3.464964
108	-537.3273	-568.8722	31.54488	0.000143394	0.00967063	0.0310343	0.00320992	0.0656321	0.0131395	0.0396965	0.0672688	0.030414	0.0154722	0.0272683	0.0724559	0.022797	0.00981984	0.0285515	0.113802	0.070752	0.0346147	0.0119608	0.00255859	0.0608472	0.0292328	0.0614379	0.036251	0.033532	0.0444627	0.00112262	0.0186967	0.031522	0.0223218	0.156557	0.560728	1.7834	6.38747	44.7992	2.749246	0.000145228	0.00979436	0.0314314	0.00325099	0.0664718	0.0133076	0.0402044	0.0681295	0.0308032	0.0156701	0.0276172	0.073383	0.0230887	0.00994548	0.0289168	0.115258	0.0716572	0.0350576	0.0121138	0.00259132	0.0616257	0.0296069	0.0622239	0.0367149	0.033961	0.0450315	0.00113698	0.0189359	0.0319253	0.9873672
144	-534.987	-565.1008	30.11386	0.0296143	0.173762	0.223296	0.0329446	0.159589	0.0120007	0.237908	0.0804703	0.0434553	0.00672714	0.321346	0.188117	0.045514	0.0930074	0.0522573	0.161121	0.050433	0.068169	0.0327513	0.0705724	0.110558	0.0694631	0.00472762	0.267958	0.0635324	0.125598	0.0462133	0.0741996	0.10789	0.155822	0.403871	0.753624	1.32692	2.47604	6.41759	1.344216	0.0100279	0.0588385	0.0756116	0.0111556	0.0540394	0.00406362	0.0805595	0.0272485	0.0147147	0.00227792	0.108813	0.0636995	0.0154118	0.0314938	0.0176952	0.0545583	0.0170774	0.0230831	0.0110901	0.023897	0.0374368	0.0235213	0.00160085	0.090735	0.0215131	0.0425296	0.0156486	0.0251252	0.0365333	2.953196
180	-525.434	-556.6635	31.22951	0.0298067	0.0839842	0.0635671	0.0044143	0.129926	0.0108592	0.285007	0.0404915	0.0509716	0.0241026	0.241425	0.0731581	0.0437019	0.134938	0.0123783	0.155152	0.0331868	0.0561159	0.00970973	0.0988241	0.157237	0.0741843	0.0234041	0.13468	0.00639135	0.0414438	0.077778	0.0341133	0.0412107	0.128526	0.367665	0.731862	1.36638	2.71987	7.78054	1.483467	0.0137221	0.0386638	0.0292644	0.00203221	0.0598142	0.00499924	0.131209	0.0186411	0.0234658	0.0110961	0.111145	0.0336798	0.0201191	0.0621216	0.00569862	0.0714275	0.0152782	0.0258341	0.00447007	0.0454957	0.0723875	0.0341523	0.0107746	0.0620026	0.00294239	0.0190795	0.0358067	0.0157048	0.0189722	2.172163
216	-527.3856	-558.714	31.32836	0.0370905	0.00367543	0.101867	0.0117007	0.105801	0.0280798	0.113639	0.035989	0.0565388	0.030426	0.166842	0.112437	0.100159	0.0841219	0.0138665	0.151341	0.0951638	0.0870754	0.00506443	0.185283	0.134027	0.0831265	0.0533331	0.0906035	0.0428255	0.0643339	0.0684612	0.049602	0.0474769	0.143576	0.388067	0.744297	1.34355	2.57687	6.96494	1.403397	0.0171719	0.00170163	0.0471616	0.00541711	0.0489829	0.0130002	0.052612	0.0166619	0.026176	0.0140864	0.0772436	0.0520551	0.0463709	0.0389462	0.00641982	0.070067	0.0440583	0.0403136	0.0023447	0.0857812	0.062051	0.0384853	0.0246918	0.041947	0.0198271	0.0297849	0.0316957	0.0229644	0.0219806	2.15995
252	-530.4883	-562.7289	32.24056	0.010039	0.00111278	0.0159023	0.0183263	0.0173402	0.0156055	0.0335957	0.0341881	0.0143113	0.0345278	0.00847442	0.0559936	0.034866	0.0168089	0.0118006	0.14591	0.0264387	0.0222164	0.0363436	0.0268817	0.0804085	0.0234298	0.00673581	0.0490458	0.0187831	0.0622546	0.00770972	0.0360111	0.0587606	0.0537268	0.240276	0.640904	1.5603	4.16188	18.6127	2.114141	0.0108668	0.00120454	0.0172136	0.0198375	0.0187701	0.0168923	0.036366	0.0370072	0.0154914	0.0373749	0.00917321	0.0606108	0.037741	0.0181949	0.0127737	0.157942	0.0286188	0.0240484	0.0393405	0.0290984	0.087039	0.0253618	0.00729124	0.0530901	0.020332	0.0673881	0.00834546	0.0389805	0.063606	0.9238221
288	-530.8007	-561.4705	30.66984	0.0132576	0.058455	0.00726903	0.00202753	0.081501	0.0156468	0.168758	0.0680955	0.0536414	0.103967	0.0342313	0.204137	0.13096	0.180555	0.0857513	0.244079	0.0381308	0.146327	0.00285539	0.0752315	0.166	0.233932	0.0757005	0.0811471	0.0288004	0.104581	0.0794996	0.0302843	0.0161076	0.129418	0.368908	0.732633	1.36494	2.7107	7.72688	1.478462	0.00523822	0.0230963	0.00287208	0.0008011	0.032202	0.00618225	0.0666781	0.0269053	0.0211943	0.0410785	0.0135252	0.0806571	0.0517439	0.0713393	0.0338813	0.0964383	0.0150659	0.0578156	0.0011282	0.0297248	0.0655886	0.0924294	0.0299101	0.0320622	0.0113794	0.0413213	0.0314112	0.0119657	0.00636432	2.53093
324	-538.913	-568.8058	29.89284	0.000543501	0.223027	0.0425316	0.00708916	0.139119	0.0402015	0.207993	0.0348772	0.0174002	0.0755405	0.14409	0.112573	0.0313778	0.248486	0.160503	0.191475	0.191271	0.0302898	0.0692077	0.0695376	0.10435	0.0908627	0.048798	0.0712692	0.0100933	0.200813	0.162247	0.440364	0.0285042	0.200682	0.456912	0.783202	1.27681	2.18861	4.983	1.161271	0.00017014	0.0698172	0.0133143	0.00221922	0.0435504	0.0125848	0.0651111	0.0109181	0.00544703	0.0236475	0.0451067	0.0352405	0.00982265	0.077787	0.0502445	0.0599403	0.0598763	0.00948206	0.0216651	0.0217684	0.0326663	0.0284441	0.0152759	0.0223104	0.00315966	0.0628635	0.0507904	0.137853	0.00892307	3.194436
