Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
360	-530.7631	-560.7461	29.98305	0.059594	0.00701419	0.0842831	0.0532805	0.0949819	0.0224268	0.17228	0.0343434	0.0334733	0.0620968	0.0422016	0.14302	0.230502	0.278826	0.0369986	0.318966	0.0436617	0.179991	0.0442155	0.117006	0.0271749	0.164199	0.0317757	0.0102617	0.117833	0.188741	0.0949606	0.137335	0.00628868	0.099842	0.325059	0.704273	1.4199	3.07636	10.0158	1.666071	0.0210006	0.00247176	0.0297009	0.0187757	0.033471	0.00790307	0.0607104	0.0121024	0.0117958	0.0218825	0.0148716	0.0503993	0.0812274	0.0982565	0.0130381	0.112402	0.0153861	0.0634279	0.0155813	0.0412322	0.00957629	0.0578627	0.0111976	0.00361615	0.0415237	0.0665112	0.0334635	0.0483962	0.00221609	2.837732
396	-529.2626	-560.4906	31.22795	0.0383978	0.0688275	0.0725785	0.00234225	0.0817915	0.0269642	0.107244	0.0106024	0.00338591	0.00496851	0.128015	0.0589407	0.048838	0.0691215	0.0382287	0.319333	0.0103498	0.0576005	0.0522554	0.0736126	0.0723653	0.0934268	0.0464687	0.00699398	0.0518736	0.0594081	0.145441	0.0753619	0.0142461	0.0642442	0.262167	0.658578	1.51842	3.81437	15.5656	1.98487	0.0208799	0.037427	0.0394667	0.00127366	0.0444765	0.0146625	0.0583171	0.00576539	0.00184119	0.00270177	0.069612	0.0320507	0.0265571	0.0375868	0.020788	0.173646	0.005628	0.0313219	0.0284154	0.040029	0.0393507	0.0508035	0.0252687	0.00380318	0.0282078	0.0323049	0.0790876	0.0409802	0.00774673	1.838983
432	-537.3726	-569.2087	31.83607	0.0278012	0.121044	0.029663	0.0029918	0.21303	0.00818859	0.0456221	0.00621235	0.00272684	0.0261126	0.0670568	0.0194839	0.00783025	0.0595621	0.0380349	0.163538	0.0311537	0.0224413	0.100405	0.183263	0.0712742	0.0859574	0.0966347	0.0142703	0.0544917	0.0604403	0.0297688	0.0651498	0.02801	0.109204	0.339583	0.713943	1.40067	2.94479	9.15721	1.601266	0.0165271	0.0719572	0.0176339	0.00177855	0.126641	0.00486791	0.0271211	0.00369308	0.00162104	0.0155233	0.0398636	0.0115827	0.00465488	0.0354081	0.0226108	0.0972191	0.01852	0.0133408	0.0596882	0.108945	0.0423707	0.0510994	0.0574469	0.00848334	0.0323939	0.0359302	0.0176968	0.0387299	0.0166512	1.682159
468	-533.9897	-564.2701	30.28038	0.0553939	0.0705224	0.0428343	0.033995	0.234156	0.051728	0.155957	0.0366147	0.00565209	0.0993527	0.11012	0.0337086	0.158982	0.275692	0.0078365	0.138538	0.0237504	0.0895308	0.0350421	0.0242249	0.214152	0.225932	0.114136	0.00705634	0.0367841	0.0952689	0.21155	0.066879	0.0217865	0.104716	0.332704	0.7094	1.40964	3.00567	9.54963	1.631607	0.0206912	0.0263421	0.0159998	0.0126981	0.0874639	0.0193218	0.0582543	0.0136766	0.00211121	0.037111	0.0411328	0.0125911	0.0593841	0.102979	0.00292715	0.0517478	0.00887142	0.0334422	0.0130892	0.00904866	0.0799916	0.0843921	0.0426329	0.00263574	0.0137399	0.0355856	0.0790199	0.0249812	0.00813786	2.677176
504	-535.9232	-568.2232	32.29999	0.00162144	0.00128186	0.0172872	0.0104061	0.0147511	0.00612405	0.0345902	0.00788512	0.00715573	0.0100042	0.0558062	0.0206371	0.0224252	0.0471787	0.0047402	0.0644648	0.00403237	0.00439263	0.0260717	0.0187114	0.00764188	0.0198253	0.0179276	0.00543299	0.0107184	0.027413	0.045531	0.0228693	0.00138684	0.0423817	0.214028	0.618186	1.61764	4.67227	23.5951	2.285648	0.00301208	0.00238125	0.0321136	0.0193309	0.0274024	0.0113764	0.0642566	0.0146478	0.0132929	0.0185843	0.103669	0.0383365	0.0416583	0.0876417	0.00880565	0.119753	0.00749075	0.00815998	0.0484322	0.0347594	0.014196	0.0368285	0.0333033	0.0100926	0.0199111	0.0509239	0.0845808	0.0424832	0.00257627	0.5383134
540	-527.7886	-559.6988	31.91025	0.00681016	0.00816683	0.00390508	0.00165706	0.021579	0.000880896	0.0430355	0.000137557	0.00361176	0.00503786	0.0173281	0.00733778	0.0183119	0.0356049	0.00342726	0.0469558	0.01819	0.00718631	0.018897	0.0191248	0.0151214	0.00789759	0.0066467	0.00855837	0.00628353	0.00919139	0.0153806	0.0354517	0.000174349	0.0255786	0.167308	0.572469	1.74682	5.97699	39.0952	2.650769	0.0173777	0.0208395	0.00996471	0.00422836	0.0550636	0.00224781	0.109815	0.000351007	0.00921624	0.0128552	0.0442165	0.018724	0.046727	0.090854	0.00874545	0.119818	0.046416	0.0183375	0.0482201	0.0488014	0.0385858	0.0201525	0.0169606	0.0218386	0.0160339	0.0234539	0.039247	0.0904632	0.000444892	0.3918913
576	-524.5139	-552.7877	28.27374	0.036061	0.0874639	0.0542306	0.019237	0.103702	0.0549346	0.512052	0.0132278	0.00111907	0.0220937	0.230935	0.0935438	0.106024	0.170429	0.0430554	0.463271	0.188948	0.16379	0.146921	0.0492034	0.269679	0.2276	0.00618538	0.227887	0.136559	0.0440542	0.299623	0.242978	0.126214	0.204757	0.461413	0.785601	1.27291	2.16726	4.88384	1.146737	0.00870824	0.0211213	0.013096	0.00464548	0.0250425	0.0132659	0.123654	0.00319434	0.00027024	0.00533533	0.0557676	0.0225896	0.0256033	0.0411563	0.0103973	0.111874	0.0456284	0.0395531	0.0354794	0.011882	0.0651239	0.0549623	0.00149369	0.0550317	0.032977	0.0106385	0.0723548	0.0586758	0.0304789	4.141021
612	-531.972	-557.5496	25.5776	0.127869	0.0892732	0.071903	0.0322897	0.353515	0.0123948	0.892313	0.0664042	0.0389105	0.0631644	0.0141891	0.196502	0.152861	0.362961	0.0339367	0.496968	0.166255	0.586541	0.223906	0.118075	0.0577811	0.185331	0.29827	0.176919	0.118286	0.326952	0.093873	0.140161	0.0850423	0.17556	0.42806	0.767426	1.30306	2.33612	5.69605	1.257976	0.0229039	0.0159906	0.0128793	0.00578374	0.0633217	0.00222015	0.159831	0.0118943	0.00696965	0.011314	0.00254156	0.0351974	0.0273805	0.0650137	0.00607874	0.089017	0.0297795	0.105061	0.040106	0.0211496	0.0103498	0.0331965	0.0534262	0.0316898	0.0211875	0.0585637	0.0168145	0.0251057	0.0152328	5.582848
648	-531.1874	-563.5631	32.37574	0.02281	0.00491738	0.00414078	0.0166952	0.00172026	0.00215784	0.0320447	0.0111859	0.00607037	0.00598338	0.0218982	0.0318492	0.0227061	0.0290553	7.38437e-05	0.0489069	0.00632824	0.0196811	0.0187112	0.00591083	0.00818136	0.0230416	0.0140579	0.00812036	0.00372825	0.0382352	0.0275596	0.00104076	0.0061784	0.0473399	0.225894	0.628681	1.59063	4.42685	21.1238	2.20565	0.051491	0.0111004	0.00934733	0.0376876	0.00388329	0.00487109	0.0723373	0.0252509	0.0137032	0.0135068	0.0494327	0.071896	0.0512565	0.065589	0.000166694	0.110402	0.0142853	0.0444277	0.0422384	0.013343	0.0184685	0.0520137	0.0317342	0.0183308	0.00841611	0.0863116	0.0622127	0.00234939	0.013947	0.4429903
684	-533.5967	-564.3575	30.76084	0.00994502	0.125079	0.100489	0.0375099	0.0106077	0.0277878	0.184714	0.00186642	0.0620867	0.0811261	0.195144	0.0939713	0.0470839	0.0280341	0.0297597	0.232464	0.0454031	0.0152674	0.00419532	0.0161981	0.200799	0.0515603	0.056266	0.0707481	0.0884843	0.109731	0.143498	0.066573	0.103073	0.0776277	0.287514	0.677815	1.47533	3.4781	12.882	1.848042	0.0044408	0.0558521	0.0448717	0.0167495	0.00473669	0.0124082	0.0824815	0.000833422	0.0277239	0.0362257	0.0871386	0.0419615	0.0210246	0.0125182	0.0132888	0.103803	0.0202741	0.00681742	0.00187336	0.00723302	0.0896638	0.0230235	0.0251248	0.0315915	0.0395113	0.0489986	0.0640771	0.0297272	0.0460256	2.239465
