Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-530.613	-561.4897	30.87668	1.413088	2.442391
6	-530.4187	-562.1053	31.68661	1.73807	1.69115
12	-531.6473	-562.4628	30.81558	1.739293	2.274155
18	-531.6197	-563.6118	31.99211	2.101174	1.174618
24	-538.6853	-568.7171	30.03185	2.247591	2.448881
30	-532.5877	-563.3739	30.78618	1.946139	2.159587
36	-530.7725	-561.7633	30.99086	1.741459	2.159587
42	-531.752	-564.0518	32.29975	1.93381	1.04695
48	-539.092	-570.6187	31.52678	1.882296	1.702215
54	-537.5036	-566.2815	28.77787	1.590262	3.596734
60	-529.6415	-559.2431	29.60157	1.881404	2.938202
66	-533.5074	-563.0826	29.57514	2.815614	2.378688
72	-529.6898	-559.0645	29.37469	1.219659	3.464964
78	-533.8403	-565.9219	32.08161	2.50669	0.5080407
84	-524.9316	-556.9759	32.04433	2.513906	0.633121
90	-540.0673	-570.7899	30.7226	1.864862	2.253242
96	-541.8249	-572.2103	30.38537	2.202093	2.253242
102	-540.2415	-572.3156	32.07414	2.500834	0.5865684
108	-537.3273	-568.8722	31.54488	2.749246	0.9873672
114	-535.1891	-566.1919	31.00284	1.83214	2.092471
120	-537.9285	-569.1725	31.24404	1.543858	2.12333
126	-533.3193	-564.2752	30.95596	1.698005	2.210391
132	-533.7975	-566.2436	32.44619	1.995199	0.8222205
138	-538.1363	-569.2512	31.11494	1.592696	2.175626
144	-534.987	-565.1008	30.11386	1.344216	2.953196
150	-535.7467	-564.8438	29.09713	1.499603	3.463574
156	-529.6137	-561.2335	31.61972	1.208484	2.096918
162	-532.3637	-564.6612	32.29753	1.727932	1.23263
168	-534.8978	-565.4247	30.52691	2.043655	2.264093
174	-530.6749	-561.6306	30.95568	2.210536	1.870888
180	-525.434	-556.6635	31.22951	1.483467	2.172163
186	-525.4237	-555.7953	30.37152	1.352277	2.792326
192	-528.9986	-560.7996	31.80092	1.716808	1.624537
198	-526.2115	-558.5875	32.37601	1.885095	1.020273
204	-531.1174	-563.4239	32.30645	2.20256	0.7265773
210	-532.1366	-563.2908	31.15425	1.659331	2.106512
216	-527.3856	-558.714	31.32836	1.403397	2.15995
222	-527.8849	-559.0623	31.17746	1.554298	2.15995
228	-531.7687	-563.7557	31.98698	1.557142	1.60542
234	-527.7261	-559.3458	31.61968	1.924442	1.60542
240	-530.0216	-562.22	32.19832	1.809861	1.247109
246	-525.7782	-557.9757	32.19746	2.388463	0.5362554
252	-530.4883	-562.7289	32.24056	2.114141	0.9238221
258	-532.2737	-564.0431	31.76944	2.368683	1.135074
264	-530.7681	-562.7843	32.01618	1.928113	1.299714
270	-530.6743	-562.5224	31.84807	2.096224	1.299714
276	-531.4039	-563.6836	32.27968	2.09255	0.9044665
282	-537.7332	-569.0007	31.2675	1.319337	2.253646
288	-530.8007	-561.4705	30.66984	1.478462	2.53093
294	-535.3799	-566.2586	30.87874	1.497906	2.387609
300	-532.4656	-563.0881	30.62251	1.754137	2.387609
306	-537.1274	-566.3089	29.18152	1.854194	3.205339
312	-543.0362	-571.3119	28.27576	2.55309	3.327471
318	-539.1813	-568.2045	29.02318	0.9998507	3.796284
324	-538.913	-568.8058	29.89284	1.161271	3.194436
330	-536.7348	-566.744	30.00914	1.003256	3.219147
336	-531.1239	-559.82	28.69604	1.646649	3.611504
342	-529.3537	-560.1935	30.8399	2.389906	1.827307
348	-534.7315	-567.2923	32.56078	1.887859	0.8128812
354	-527.5931	-559.737	32.14394	2.419315	0.6207451
360	-528.3214	-560.459	32.13754	2.419315	0.3846548
366	-526.3815	-558.55	32.16856	2.393189	0.6245671
372	-530.9832	-562.5935	31.61035	2.426603	1.222941
378	-529.2386	-560.9508	31.71219	2.426603	1.134482
384	-529.7135	-560.6877	30.97412	1.724225	2.181659
390	-524.4731	-555.6027	31.12961	1.568737	2.181659
396	-526.2378	-558.0209	31.78312	1.727793	1.629456
402	-527.4199	-559.2568	31.83689	1.382282	1.834619
408	-527.5835	-559.2871	31.70354	1.609577	1.769606
414	-528.2222	-560.7167	32.49451	1.726587	1.058819
420	-526.3271	-558.2427	31.91559	1.28029	1.850603
426	-522.6357	-553.3699	30.7342	1.348798	2.571545
432	-527.5042	-557.6283	30.12416	1.1534	3.061456
438	-531.4348	-561.4643	30.02955	2.278224	2.431067
444	-528.8575	-558.8824	30.02484	2.282928	2.431067
450	-526.4771	-557.1292	30.65206	1.502692	2.526911
456	-532.9784	-563.3457	30.36737	1.787383	2.526911
462	-542.34	-574.4377	32.09769	1.636684	1.464282
468	-540.7362	-572.6102	31.87405	2.265324	1.133957
474	-535.2763	-567.1578	31.88151	1.582316	1.663267
480	-535.8996	-567.7086	31.80895	1.654875	1.663267
486	-535.6515	-567.6358	31.98431	2.349248	0.9465393
492	-532.6291	-564.9574	32.3283	2.13999	0.7866695
498	-528.432	-560.2263	31.79438	1.769562	1.590997
504	-532.7711	-564.2285	31.45745	2.193962	1.526607
510	-536.0778	-567.6788	31.60103	2.050381	1.526607
516	-532.514	-564.6506	32.13656	1.514851	1.526607
522	-533.1317	-563.0522	29.92049	1.367414	3.055268
528	-528.7463	-557.7807	29.03435	1.962859	3.228135
534	-524.9479	-555.9582	31.01037	1.674571	2.190345
540	-529.7651	-561.3794	31.61423	2.390284	1.250174
546	-529.849	-560.3603	30.51126	2.005714	2.298409
552	-530.7952	-560.3685	29.57333	1.444682	3.215823
558	-536.6602	-567.5043	30.84412	2.505585	1.744035
564	-529.0879	-561.2066	32.11866	2.450389	0.6049944
570	-536.3196	-568.07	31.75035	2.450219	1.078111
576	-528.0896	-560.6056	32.51598	1.993317	0.7261162
582	-529.4575	-561.4347	31.97723	2.532065	0.7261162
588	-529.01	-561.2014	32.19141	2.248085	0.8246251
594	-527.8598	-559.8778	32.01798	1.681586	1.490591
600	-530.9029	-562.5592	31.65629	2.043273	1.490591
606	-532.1539	-564.2138	32.05984	1.63973	1.490591
612	-535.9681	-567.9965	32.02836	1.879461	1.329141
618	-533.9879	-563.5304	29.54247	1.952946	2.930701
624	-530.8422	-561.2436	30.40139	1.664396	2.582222
630	-528.5412	-559.2032	30.66207	1.403717	2.582222
636	-525.4154	-556.641	31.22555	1.268837	2.31283
642	-529.0438	-559.6818	30.63799	1.519455	2.525232
648	-523.5808	-555.2395	31.65874	2.355563	1.241995
654	-524.6864	-557.4117	32.72527	1.840222	0.6148595
660	-521.5195	-552.9634	31.44393	1.296162	2.154526
666	-525.8213	-557.2206	31.39931	1.386578	2.124647
672	-530.4585	-561.3754	30.91684	1.094918	2.615671
678	-533.7809	-563.2441	29.4632	0.9683155	3.559898
684	-533.057	-563.4535	30.39657	1.543895	2.659655
690	-530.4783	-561.7548	31.27653	1.412412	2.187758
696	-538.2668	-569.5912	31.32447	1.803097	1.897195
702	-536.4654	-568.35	31.88467	2.410756	0.986047
708	-538.0954	-570.0922	31.99687	2.577325	0.5891625
714	-531.9464	-564.0384	32.092	2.429194	0.3383474
720	-534.1867	-566.1143	31.92761	2.224087	1.122891
726	-531.818	-564.1957	32.37773	1.970929	0.9303775
732	-529.1308	-560.8958	31.76495	1.920301	1.501342
738	-530.6452	-563.0593	32.41412	2.156673	0.5998846
744	-532.5011	-564.7036	32.20245	2.357054	0.6300853
750	-532.62	-564.603	31.98301	2.597217	0.5668138
756	-531.7749	-563.966	32.1911	2.36826	0.3889265
762	-532.8957	-564.7817	31.88607	2.619043	0.3226716
768	-530.2739	-562.1194	31.84556	1.568654	1.698579
774	-528.9983	-559.5647	30.56641	1.325955	2.689231
780	-534.5347	-565.5956	31.06088	1.391425	2.339634
786	-544.223	-574.7737	30.55071	1.37629	2.667944
792	-541.706	-569.3312	27.62524	1.461269	4.330356
798	-532.6202	-561.4589	28.83874	0.9262234	3.944463
804	-530.1708	-560.7393	30.56853	1.87414	2.345757
810	-526.9761	-558.9421	31.96598	2.116327	1.184147
816	-526.2306	-558.529	32.29835	2.278625	0.5795358
822	-528.0022	-559.8094	31.80718	2.734904	0.6680464
828	-530.6847	-562.2958	31.6111	2.969975	0.441797
834	-535.814	-567.4366	31.6226	2.902051	0.3420239
840	-529.0307	-560.7607	31.73007	2.810303	0.3605814
846	-532.1727	-563.9431	31.7705	2.810303	0.4407567
852	-528.8886	-558.7361	29.8475	1.769404	2.857271
858	-534.7185	-565.8015	31.08298	1.679347	2.140036
864	-527.8661	-558.3082	30.44202	1.417011	2.70969
870	-530.5985	-561.3777	30.7792	1.079835	2.70969
876	-532.0991	-562.6644	30.56535	1.293681	2.70969
882	-528.3922	-559.0097	30.61743	1.33413	2.652822
